,土地區段位置建物區段門牌,土地移轉總面積平方公尺,總樓層數,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,編號,交易筆棟數-土地,交易筆棟數-建物,交易筆棟數-車位,交易年份,單價元/坪,土地移轉總面積坪,建物移轉總面積坪,鄉鎮市區_中山區,鄉鎮市區_中正區,鄉鎮市區_信義區,鄉鎮市區_內湖區,鄉鎮市區_北投區,鄉鎮市區_南港區,鄉鎮市區_士林區,鄉鎮市區_大同區,鄉鎮市區_大安區,鄉鎮市區_文山區,鄉鎮市區_松山區,鄉鎮市區_萬華區,建物型態_住宅大樓(11層含以上有電梯),建物型態_公寓(5樓含以下無電梯),建物型態_套房(1房1廳1衛),建物型態_華廈(10層含以下有電梯),建物型態_透天厝,土地區段位置建物區段門牌經度,土地區段位置建物區段門牌緯度
28,臺北市北投區復興三路31~60號,40.28,5.0,4,4,108.08,2,2,1,1,18000000,186554,RPQNMLQKKIOFFEA08CA,1,1,1,108,574012.3076923076,123.93846153846154,332.5538461538461,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1444376,121.5028792
29,臺北市北投區知行路181~210號,41.67,5.0,4,32,136.96,6,3,3,0,13380000,97693,RPOOMLTKJIOFFEA28DA,1,1,0,108,300593.8461538461,128.2153846153846,421.41538461538465,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1191212,121.4659683
30,臺北市北投區中和街20巷1~30號,9.51,13.0,4,15,86.7,2,2,1,1,10680000,123183,RPXNMLTLJIOFFEA56DA,3,1,1,108,379024.6153846154,29.26153846153846,266.7692307692308,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,25.137912,121.5033661
31,臺北市北投區三合街一段31~60號,14.58,10.0,4,4,71.61,2,1,1,1,15750000,219941,RPRPMLMKKIOFFEA97CA,1,1,0,108,676741.5384615384,44.86153846153846,220.33846153846153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1268606,121.504756
32,臺北市北投區行義路121~150號,11.58,8.0,4,40,73.33,3,2,1,1,7500000,102277,RPVPMLTKJIOFFEA98CA,1,1,0,108,314698.4615384615,35.63076923076923,225.6307692307692,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25.1285057,121.529186
33,臺北市北投區天母西路117巷31~60號,9.2,7.0,4,13,36.15,1,1,1,1,7400000,204703,RPUNMLTKJIOFFEA68CA,1,1,0,108,629855.3846153846,28.307692307692303,111.23076923076923,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,25.1213653,121.524526
34,臺北市北投區同德街7巷1~30號,44.18,4.0,4,42,110.69,3,2,2,0,11500000,103894,RPVNMLTKJIOFFEA78CA,1,1,0,108,319673.8461538461,135.93846153846152,340.58461538461535,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1253459,121.5275173
35,臺北市北投區立農街一段22巷2弄1~30號,35.75,4.0,4,49,83.25,3,2,1,0,14800000,177778,RPXNMLTKJIOFFEA98CA,1,1,0,108,547009.2307692308,110.0,256.15384615384613,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1192528,121.5032484
36,臺北市北投區西安街一段281巷1~30號,30.0,4.0,4,47,95.7,3,2,1,0,11000000,114943,RPQOMLKLJIOFFEA57CA,1,1,0,108,353670.7692307692,92.3076923076923,294.46153846153845,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1117702,121.5166431
37,臺北市北投區致遠二路95巷31~60號,17.5,4.0,4,50,60.89,3,1,1,0,9100000,149450,RPRQMLNJKIOFFEA08CA,1,1,0,108,459846.1538461538,53.84615384615385,187.35384615384615,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1168706,121.5105716
38,臺北市北投區立農街一段571~600號,32.54,5.0,4,37,119.66000000000001,3,2,2,0,14300000,119505,RPUNMLKLJIOFFEA87CA,1,1,0,108,367707.6923076923,100.12307692307692,368.1846153846154,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.1193823,121.5108325
39,臺北市北投區杏林一路1~30號,52.08,4.0,4,41,143.95999999999998,4,2,2,0,13000000,90303,RPWNMLTKJIOFFEA88CA,3,1,0,108,277855.3846153846,160.24615384615385,442.9538461538461,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,25.140844,121.497622
